ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
1,Albania,A1,2000,10036.09036740519,3480355258.04122,3089027.0
1,Albania,A1,2001,10519.018570969154,3922100793.5403,3060173.0
1,Albania,A1,2002,11169.706635526885,4348068242.19512,3051010.0
1,Albania,A1,2003,11774.533405025304,5611496257.14231,3039616.0
1,Albania,A1,2004,12468.679687787295,7184685781.51876,3026939.0
1,Albania,A1,2005,13030.505476880773,8052077209.3737,3011487.0
1,Albania,A1,2006,13753.370504840654,8896074996.35876,2992547.0
1,Albania,A1,2007,14509.481018158618,10677324872.8286,2970017.0
1,Albania,A1,2008,14705.514517963627,12881352878.2501,2947314.0
1,Albania,A1,2009,15226.183305674473,12044205572.4342,2927519.0
1,Albania,A1,2010,16114.824538912288,11926926654.0521,2913021.0
1,Albania,A1,2011,16740.487441544934,12890760272.5584,2905195.0
1,Albania,A1,2012,17273.22318170392,12319834233.2904,2900401.0
1,Albania,A1,2013,17877.55362043065,12776224537.2743,2895092.0
1,Albania,A1,2014,18358.556599315973,13228147516.1168,2889104.0
1,Albania,A1,2015,19131.607773098633,11386853143.152,2880703.0
1,Albania,A1,2016,19626.677702961377,11861199830.8396,2876101.0
1,Albania,A1,2017,20183.998152686396,13019726211.7369,2873457.0
1,Albania,A1,2018,20808.69628785983,15156424061.9815,2866376.0
1,Albania,A1,2019,21241.238518931204,15401826080.5183,2854191.0
2,Algeria,A2,2000,259690.60978587688,54790398813.0005,30774621.0
2,Algeria,A2,2001,272186.70289337134,54744698044.2331,31200985.0
2,Algeria,A2,2002,289023.69559465157,56760355865.0082,31624696.0
2,Algeria,A2,2003,304673.9963428378,67863850333.9526,32055883.0
2,Algeria,A2,2004,322635.49976218847,85332581188.6107,32510186.0
2,Algeria,A2,2005,337173.1211288681,103198211973.242,32956690.0
2,Algeria,A2,2006,355877.74145726406,117027280692.356,33435080.0
2,Algeria,A2,2007,375442.6111506227,134977082623.78,33983827.0
2,Algeria,A2,2008,380515.1102253779,171000699876.747,34569592.0
2,Algeria,A2,2009,393987.76641191856,137211004291.274,35196037.0
2,Algeria,A2,2010,416981.9579040452,161207306304.794,35856344.0
2,Algeria,A2,2011,433171.40765559045,200013097903.17,36543541.0
2,Algeria,A2,2012,446956.3043785149,209059081828.261,37260563.0
2,Algeria,A2,2013,462593.7622331005,209755003250.664,38000626.0
2,Algeria,A2,2014,475040.03885305166,213809980720.787,38760168.0
2,Algeria,A2,2015,495043.25956610026,165979224316.667,39543154.0
2,Algeria,A2,2016,507853.5280338151,160034212613.438,40339329.0
2,Algeria,A2,2017,522274.5707045029,170096989042.831,41136546.0
2,Algeria,A2,2018,538439.0564470952,174910891124.491,41927007.0
2,Algeria,A2,2019,549631.3785200291,171760290068.157,42705368.0
3,Angola,A3,2000,72344.96671623226,9129594818.60749,16394062.0
3,Angola,A3,2001,75826.14549543428,8936079252.77131,16941587.0
3,Angola,A3,2002,80516.61804498045,15285592487.4237,17516139.0
3,Angola,A3,2003,84876.50032050867,17812704626.2324,18124342.0
3,Angola,A3,2004,89880.24061022433,23552057820.4599,18771125.0
3,Angola,A3,2005,93930.15113557139,36970901025.2032,19450959.0
3,Angola,A3,2006,99140.90995435699,52381025105.2177,20162340.0
3,Angola,A3,2007,104591.31822264405,65266415706.9741,20909684.0
3,Angola,A3,2008,106004.42198112751,88538664888.1983,21691522.0
3,Angola,A3,2009,109757.65304403803,70307196477.0815,22507674.0
3,Angola,A3,2010,116163.40648863192,81699526880.8079,23364185.0
3,Angola,A3,2011,120673.48563394783,109436566876.419,24259111.0
3,Angola,A3,2012,124513.70109429485,124998210652.243,25188292.0
3,Angola,A3,2013,128870.00557888621,133401582620.494,26147002.0
3,Angola,A3,2014,132337.3064125737,137244439121.374,27128337.0
3,Angola,A3,2015,137909.83110992858,87219300384.5072,28127721.0
3,Angola,A3,2016,141478.53329244867,49840491178.1518,29154746.0
3,Angola,A3,2017,145495.96716456482,68972769395.6274,30208628.0
3,Angola,A3,2018,149999.0918019827,77792944471.9494,31273533.0
3,Angola,A3,2019,153117.06425586302,69309110145.7687,32353588.0
4,Antigua and Barbuda,A4,2000,3119.5546145017715,826370370.37037,75055.0
4,Antigua and Barbuda,A4,2001,3269.6649513709804,800481481.481481,76215.0
4,Antigua and Barbuda,A4,2002,3471.920698388244,814381481.481481,77195.0
4,Antigua and Barbuda,A4,2003,3659.921211605107,856396296.296296,78075.0
4,Antigua and Barbuda,A4,2004,3875.6852352693622,919729629.62963,78941.0
4,Antigua and Barbuda,A4,2005,4050.3195967339457,1022962962.96296,79869.0
4,Antigua and Barbuda,A4,2006,4275.010372831175,1157662962.96296,80895.0
4,Antigua and Barbuda,A4,2007,4510.0349645342285,1312759259.25926,82016.0
4,Antigua and Barbuda,A4,2008,4570.9687730718415,1370070370.37037,83251.0
4,Antigua and Barbuda,A4,2009,4732.810153516721,1228329629.62963,84534.0
4,Antigua and Barbuda,A4,2010,5009.029752812768,1148700000.0,85695.0
4,Antigua and Barbuda,A4,2011,5203.506837372427,1137637037.03704,86729.0
4,Antigua and Barbuda,A4,2012,5369.099032707817,1199948148.14815,87674.0
4,Antigua and Barbuda,A4,2013,5556.945269618623,1181448148.14815,88497.0
4,Antigua and Barbuda,A4,2014,5706.457181871238,1249733333.33333,89236.0
4,Antigua and Barbuda,A4,2015,5946.7475009233585,1336692592.59259,89941.0
4,Antigua and Barbuda,A4,2016,6100.6318949121,1436585185.18519,90564.0
4,Antigua and Barbuda,A4,2017,6273.865845290069,1467955555.55556,91119.0
4,Antigua and Barbuda,A4,2018,6468.043047657648,1604770370.37037,91626.0
4,Antigua and Barbuda,A4,2019,6602.4917287185435,1675403703.7037,92117.0
5,Argentina,A5,2000,376681.7053482439,284203750000,37070774.0
5,Argentina,A5,2001,394807.3112983495,268696750000.0,37480493.0
5,Argentina,A5,2002,419229.40006345155,97724004251.8602,37885028.0
5,Argentina,A5,2003,441930.18997611135,127586973492.177,38278164.0
5,Argentina,A5,2004,467983.383598314,164657930452.787,38668796.0
5,Argentina,A5,2005,489070.23002923856,198737095012.282,39070501.0
5,Argentina,A5,2006,516201.3160896896,232557260817.308,39476851.0
5,Argentina,A5,2007,544580.1954303292,287530508430.568,39876111.0
5,Argentina,A5,2008,551937.8646330455,361558037110.419,40273769.0
5,Argentina,A5,2009,571479.9771187496,332976484577.619,40684338.0
5,Argentina,A5,2010,604833.0940123486,423627422092.49,40788453.0
5,Argentina,A5,2011,628315.9205423105,530158176673.789,41261490.0
5,Argentina,A5,2012,648310.9384981849,545982375701.128,41733271.0
5,Argentina,A5,2013,670993.0997701437,552025140252.246,42202935.0
5,Argentina,A5,2014,689046.4468137848,526319673731.638,42669500.0
5,Argentina,A5,2015,718061.1551117135,594749285413.212,43131966.0
5,Argentina,A5,2016,736642.4729975098,557532317363.451,43590368.0
5,Argentina,A5,2017,757560.221816281,643628396190.388,44044811.0
5,Argentina,A5,2018,781006.838005513,524819898586.906,44494502.0
5,Argentina,A5,2019,797241.3216809746,447754686715.081,44938712.0
6,Aruba,A6,2000,1279.340236573433,1873184357.5419,89101.0
6,Aruba,A6,2001,1340.9010097009914,1896648044.69274,90691.0
6,Aruba,A6,2002,1423.8467975498534,1962011173.18436,91781.0
6,Aruba,A6,2003,1500.9464642576286,2044134078.21229,92701.0
6,Aruba,A6,2004,1589.4320435116242,2254748603.35196,93540.0
6,Aruba,A6,2005,1661.0502047296904,2359776536.31285,94483.0
6,Aruba,A6,2006,1753.1966763163107,2469832402.23464,95606.0
6,Aruba,A6,2007,1849.5810817542583,2677653631.28492,96787.0
